Qty,Designator,Value,Package,MANUFACTURER_NAME,MANUFACTURER_PART_NUMBER
1,J5,2,,MOLEX,22035025
3,"J8, J9, J11",3,,MOLEX,22035035
5,"J2, J4, J6, J7, J10",4,,MOLEX,99990988
1,J3,8,,MOLEX,99990992
1,U1,5V regulator,SOT-223,Diodes Incorporated,AZ1117H-5.0TRE1
1,U2,3.3V regulator,SOT-223,Diodes Incorporated,AZ1117H-3.3TRG1
3,"C1, C3, C7",10uF,C0805,Samsung Electro-Mechanics,CL21A106KAYNNNE
4,"C2, C9, C10, C12",100nF,C0805,Samsung Electro-Mechanics,CL21F104ZBCNNNC
2,"C4, C8",22uF,C0805,Samsung Electro-Mechanics,CL21A226MAQNNNF
1,U3,CH340C,SOP-16_150mil,Jiangsu Qin Heng,CH340C
2,"C5, C11",100uF,SMC_B,AVX,TAJB107M010RNJ
1,C6,220uF,6.3*7.7mm,ROQANG,VT1E101M0607
1,SJR1,ESP-12E,ESP8266-ESP12E,AI-Thinker,ESP-12E
1,LED1,green,LED0805,Orient,ORH-G35A
2,"S1, S2",pushbutton,6.0*3.5mm,HYP (Hongyuan Precision),1TS002B-2300-5000-CT
1,JP1,5.5*2.1mm,14.0*9.0mm,Korean Hroparts Elec,DC-005-20A
1,VR1,10k,RK09K1130BGM,ALPS Electric,RK09K1130AAU
6,"R1, R2, R3, R4, R5, R13",10k,R0805,Uniroyal Elec,0805W8F1002T5E
1,R11,47k(1%),R0805,Uniroyal Elec,0805W8F4702T5E
5,"R6, R7, R8, R10, R12",470,R0805,Guangdong Fenghua Advanced Tech,RS-05K471JT
2,"D1, D2",1N5819W,SOD-123F,Shandong Jingdao Microelectronics,1N5819W
1,U4,TXB0104,TSSOP14,Texas Instruments,TXB0104PWR
1,Q1,UMH3N,SOT65P210X100-6N,Changjiang Electronics Tech,UMH3N
1,J1,ZX62-B-5PA(33),ZX62B5PA33,Hirose,ZX62-B-5PA(33)
